policy,total_kv_blocks,max_batch_size,block_size_tokens,completed,not_completed,avg_latency,p95_latency,p99_latency,avg_wait_time,avg_ttft,p99_ttft,avg_tpot,avg_queue_depth,peak_queue_depth,avg_memory_utilization,peak_memory_utilization,memory_blocked_events,throughput_reqs_per_step,total_time
fifo,128,4,256,300,0,4272.05,8368.45,8700.82,4144.83,4149.38,8590.82,1.0,128.36,270,0.1942,0.4297,0,0.031,9687
fifo,128,8,256,300,0,1935.88,3785.4,3945.93,1808.66,1813.22,3817.93,1.0,111.51,235,0.3867,0.6484,0,0.0617,4866
fifo,128,16,256,300,0,775.77,1502.8,1635.57,648.49,653.04,1445.86,1.0006,76.96,170,0.7445,1.0,42,0.1187,2528
fifo,128,32,256,300,0,358.15,1102.85,1268.83,227.61,232.17,1035.94,1.0301,32.96,90,0.9215,1.0,55266,0.1448,2072
fifo,256,4,256,300,0,4272.05,8368.45,8700.82,4144.83,4149.38,8590.82,1.0,128.36,270,0.0971,0.2148,0,0.031,9687
fifo,256,8,256,300,0,1935.88,3785.4,3945.93,1808.66,1813.22,3817.93,1.0,111.51,235,0.1933,0.3242,0,0.0617,4866
fifo,256,16,256,300,0,774.9,1501.85,1643.52,647.68,652.23,1439.93,1.0,76.8,169,0.3718,0.5625,0,0.1186,2530
fifo,256,32,256,300,0,217.77,448.75,496.92,90.55,95.1,271.0,1.0,19.49,65,0.6748,0.9727,0,0.2152,1394
fifo,512,4,256,300,0,4272.05,8368.45,8700.82,4144.83,4149.38,8590.82,1.0,128.36,270,0.0486,0.1074,0,0.031,9687
fifo,512,8,256,300,0,1935.88,3785.4,3945.93,1808.66,1813.22,3817.93,1.0,111.51,235,0.0967,0.1621,0,0.0617,4866
fifo,512,16,256,300,0,774.9,1501.85,1643.52,647.68,652.23,1439.93,1.0,76.8,169,0.1859,0.2812,0,0.1186,2530
fifo,512,32,256,300,0,217.77,448.75,496.92,90.55,95.1,271.0,1.0,19.49,65,0.3374,0.4863,0,0.2152,1394
shortest_job_first,128,4,256,300,0,2784.28,8041.8,8713.7,2657.06,2661.61,8457.7,1.0,81.48,221,0.1923,0.4609,0,0.0307,9783
shortest_job_first,128,8,256,300,0,1255.33,3794.3,4011.96,1128.11,1132.66,3755.96,1.0,69.05,175,0.3839,0.7031,0,0.0612,4901
shortest_job_first,128,16,256,300,0,499.3,1593.0,1698.99,372.03,376.58,1442.99,1.0012,43.39,112,0.732,1.0,432,0.1166,2572
shortest_job_first,128,32,256,300,0,263.55,1137.65,1565.79,134.3,138.86,1309.79,1.0234,19.18,56,0.9137,1.0,28092,0.1428,2101
shortest_job_first,256,4,256,300,0,2784.28,8041.8,8713.7,2657.06,2661.61,8457.7,1.0,81.48,221,0.0962,0.2305,0,0.0307,9783
shortest_job_first,256,8,256,300,0,1255.33,3794.3,4011.96,1128.11,1132.66,3755.96,1.0,69.05,175,0.1919,0.3516,0,0.0612,4901
shortest_job_first,256,16,256,300,0,498.37,1592.95,1697.96,371.15,375.7,1441.96,1.0,43.29,111,0.3658,0.6836,0,0.1166,2572
shortest_job_first,256,32,256,300,0,178.94,559.3,596.99,51.72,56.27,340.99,1.0,11.15,39,0.6758,0.9727,0,0.2155,1392
shortest_job_first,512,4,256,300,0,2784.28,8041.8,8713.7,2657.06,2661.61,8457.7,1.0,81.48,221,0.0481,0.1152,0,0.0307,9783
shortest_job_first,512,8,256,300,0,1255.33,3794.3,4011.96,1128.11,1132.66,3755.96,1.0,69.05,175,0.096,0.1758,0,0.0612,4901
shortest_job_first,512,16,256,300,0,498.37,1592.95,1697.96,371.15,375.7,1441.96,1.0,43.29,111,0.1829,0.3418,0,0.1166,2572
shortest_job_first,512,32,256,300,0,178.94,559.3,596.99,51.72,56.27,340.99,1.0,11.15,39,0.3379,0.4863,0,0.2155,1392
priority,128,4,256,300,0,4315.69,8415.45,8737.93,4188.47,4193.02,8653.85,1.0,129.63,263,0.1941,0.4297,0,0.031,9693
priority,128,8,256,300,0,1975.55,3888.6,3994.97,1848.33,1852.88,3863.93,1.0,113.23,232,0.3842,0.9062,0,0.0613,4897
priority,128,16,256,300,0,802.48,1722.95,1837.99,675.17,679.73,1598.94,1.001,80.47,177,0.7479,1.0,71,0.1192,2517
priority,128,32,256,300,0,349.99,1237.35,1614.97,219.98,224.53,1511.94,1.0345,30.91,83,0.8951,1.0,46172,0.1405,2135
priority,256,4,256,300,0,4315.69,8415.45,8737.93,4188.47,4193.02,8653.85,1.0,129.63,263,0.0971,0.2148,0,0.031,9693
priority,256,8,256,300,0,1975.55,3888.6,3994.97,1848.33,1852.88,3863.93,1.0,113.23,232,0.1921,0.4531,0,0.0613,4897
priority,256,16,256,300,0,800.59,1722.9,1833.99,673.37,677.92,1592.97,1.0,80.16,178,0.3733,0.6328,0,0.119,2520
priority,256,32,256,300,0,220.99,651.85,813.38,93.77,98.32,601.89,1.0,20.41,64,0.6827,0.9766,0,0.2177,1378
priority,512,4,256,300,0,4315.69,8415.45,8737.93,4188.47,4193.02,8653.85,1.0,129.63,263,0.0485,0.1074,0,0.031,9693
priority,512,8,256,300,0,1975.55,3888.6,3994.97,1848.33,1852.88,3863.93,1.0,113.23,232,0.0961,0.2266,0,0.0613,4897
priority,512,16,256,300,0,800.59,1722.9,1833.99,673.37,677.92,1592.97,1.0,80.16,178,0.1867,0.3164,0,0.119,2520
priority,512,32,256,300,0,220.99,651.85,813.38,93.77,98.32,601.89,1.0,20.41,64,0.3413,0.4883,0,0.2177,1378
